6150221_00	28.4812090056	-16.3365839092	663.5622292450	21 2  2014	 0 5  45.40     	
6150221_00	28.4812090215	-16.3365839192	663.5635419246	21 2  2014	 0 5  45.60     	
6150221_00	28.4812090089	-16.3365839263	663.5571322320	21 2  2014	 0 5  45.80     	
6150221_00	28.4812090128	-16.3365839139	663.5674679857	21 2  2014	 0 5  46.00     	
6150221_00	28.4812090030	-16.3365839295	663.5586176217	21 2  2014	 0 5  46.20     	
6150221_00	28.4812090074	-16.3365839222	663.5696751047	21 2  2014	 0 5  46.40     	
6150221_00	28.4812090087	-16.3365839262	663.5537653640	21 2  2014	 0 5  46.60     	
6150221_00	28.4812089983	-16.3365839254	663.5719717555	21 2  2014	 0 5  46.80     	
6150221_00	28.4812090056	-16.3365839155	663.5632799603	21 2  2014	 0 5  47.00     	
6150221_00	28.4812090005	-16.3365839289	663.5590933291	21 2  2014	 0 5  47.20     	
6150221_00	28.4812090036	-16.3365839269	663.5676728683	21 2  2014	 0 5  47.40     	
6150221_00	28.4812090105	-16.3365839078	663.5596601861	21 2  2014	 0 5  47.60     	
6150221_00	28.4812090109	-16.3365839209	663.5548449671	21 2  2014	 0 5  47.80     	
6150221_00	28.4812089951	-16.3365839297	663.5613097688	21 2  2014	 0 5  48.00     	
6150221_00	28.4812090013	-16.3365839265	663.5593854412	21 2  2014	 0 5  48.20     	
6150221_00	28.4812090089	-16.3365839216	663.5610480234	21 2  2014	 0 5  48.40     	
6150221_00	28.4812090013	-16.3365839249	663.5652110614	21 2  2014	 0 5  48.60     	
6150221_00	28.4812089983	-16.3365839142	663.5602280013	21 2  2014	 0 5  48.80     	
6150221_00	28.4812090147	-16.3365839130	663.5561518669	21 2  2014	 0 5  49.00     	
6150221_00	28.4812090042	-16.3365839242	663.5606625350	21 2  2014	 0 5  49.20     	
6150221_00	28.4812090007	-16.3365839179	663.5585718574	21 2  2014	 0 5  49.40     	
6150221_00	28.4812090096	-16.3365839080	663.5631906753	21 2  2014	 0 5  49.60     	
6150221_00	28.4812090049	-16.3365839068	663.5670185806	21 2  2014	 0 5  49.80     	
6150221_00	28.4812089955	-16.3365839326	663.5624489682	21 2  2014	 0 5  50.00     	
6150221_00	28.4812090005	-16.3365839117	663.5661156634	21 2  2014	 0 5  50.20     	
6150221_00	28.4812090041	-16.3365839278	663.5610959884	21 2  2014	 0 5  50.40     	
6150221_00	28.4812090008	-16.3365839305	663.5636914726	21 2  2014	 0 5  50.60     	
6150221_00	28.4812090088	-16.3365839196	663.5627542399	21 2  2014	 0 5  50.80     	
6150221_00	28.4812090026	-16.3365839236	663.5656195395	21 2  2014	 0 5  51.00     	
6150221_00	28.4812089979	-16.3365839403	663.5615413645	21 2  2014	 0 5  51.20     	
6150221_00	28.4812089978	-16.3365839360	663.5581538882	21 2  2014	 0 5  51.40     	
6150221_00	28.4812090051	-16.3365839211	663.5632575322	21 2  2014	 0 5  51.60     	
6150221_00	28.4812090065	-16.3365839277	663.5622068001	21 2  2014	 0 5  51.80     	
6150221_00	28.4812089979	-16.3365839187	663.5678150989	21 2  2014	 0 5  52.00     	
6150221_00	28.4812089961	-16.3365839170	663.5651604878	21 2  2014	 0 5  52.20     	
6150221_00	28.4812090036	-16.3365839136	663.5649207886	21 2  2014	 0 5  52.40     	
6150221_00	28.4812090094	-16.3365839200	663.5664912490	21 2  2014	 0 5  52.60     	
6150221_00	28.4812090073	-16.3365839151	663.5632506944	21 2  2014	 0 5  52.80     	
6150221_00	28.4812090028	-16.3365839251	663.5641854098	21 2  2014	 0 5  53.00     	
6150221_00	28.4812090088	-16.3365839252	663.5681335842	21 2  2014	 0 5  53.20     	
6150221_00	28.4812090003	-16.3365839187	663.5673315153	21 2  2014	 0 5  53.40     	
6150221_00	28.4812090082	-16.3365839232	663.5672853915	21 2  2014	 0 5  53.60     	
6150221_00	28.4812090070	-16.3365839212	663.5707740840	21 2  2014	 0 5  53.80     	
6150221_00	28.4812089978	-16.3365839184	663.5632429328	21 2  2014	 0 5  54.00     	
6150221_00	28.4812089932	-16.3365839252	663.5559012070	21 2  2014	 0 5  54.20     	
6150221_00	28.4812089926	-16.3365839245	663.5576147297	21 2  2014	 0 5  54.40     	
6150221_00	28.4812090064	-16.3365839181	663.5628986070	21 2  2014	 0 5  54.60     	
6150221_00	28.4812089921	-16.3365839298	663.5612920914	21 2  2014	 0 5  54.80     	
6150221_00	28.4812090039	-16.3365839299	663.5598540325	21 2  2014	 0 5  55.00     	
6150221_00	28.4812089973	-16.3365839226	663.5622208100	21 2  2014	 0 5  55.20     	
6150221_00	28.4812090070	-16.3365839178	663.5608844776	21 2  2014	 0 5  55.40     	
6150221_00	28.4812089831	-16.3365839280	663.5641748253	21 2  2014	 0 5  55.60     	
6150221_00	28.4812089885	-16.3365839300	663.5633808626	21 2  2014	 0 5  55.80     	
